symbol,price,likes,market_cap,volume_cap,date
SHIB,1.276e-05,119075,6255772106,1536221867,2021-05-16 18:08:12.796463
SNM,0.424433,3692,188841021,1517214,2021-05-16 18:08:12.796463
SLP,0.210584,10392,86175841,65780951,2021-05-16 18:08:12.796463
BAKE,6.51,27881,995288922,556979669,2021-05-16 18:08:12.796463
ATM,38.04,1539,73022907,798106176,2021-05-16 18:08:12.796463
MATIC,1.5,112925,9182901349,3581657303,2021-05-16 18:08:12.796463
ETC,88.84,57342,11309190510,8817240947,2021-05-16 18:08:12.796463
CLOAK,0.99966,1753,5641557,30482,2021-05-16 18:08:12.796463
DOGE,0.499987,228715,64810416427,10971610659,2021-05-16 18:08:12.796463
RLC,7.46,14589,532401375,161314452,2021-05-16 18:08:12.796463
WAVES,29.05,27026,2909719271,195604723,2021-05-16 18:08:12.796463
NANO,9.68,32695,1289079095,140246818,2021-05-16 18:08:12.796463
BEAR,0.00119137,-1,4714002,-1,2021-05-16 18:08:12.796463
PROM,22.61,4332,367023333,51909882,2021-05-16 18:08:12.796463
SOL,42.93,82979,11643207770,1999063688,2021-05-16 18:08:12.796463
BURGER,10.8,5912,52529121,-1,2021-05-16 18:08:12.796463
CTSI,1.01,17763,310915708,87419875,2021-05-16 18:08:12.796463
BCD,4.08,9179,766252288,44992728,2021-05-16 18:08:12.796463
TKO,2.8,11130,209259850,60134906,2021-05-16 18:08:12.796463
ADA,2.04,293006,64978191631,11077524154,2021-05-16 18:08:12.796463
DGD,656.73,1828,61546816,146641,2021-05-16 18:08:12.796463
ETH,-1.0,456173,393314270829,61055743853,2021-05-16 18:08:12.796463
BETH,-1.0,1830,13463063,-1,2021-05-16 18:08:12.796463
FTM,0.590388,39406,1502025116,243790672,2021-05-16 18:08:12.796463
BCH,-1.0,87437,20982265195,7017677500,2021-05-16 18:08:12.796463
TNB,0.00536477,1239,18309733,1776628,2021-05-16 18:08:12.796463
ETHBULL,-1.0,-1,82322777,-1,2021-05-16 18:08:12.796463
TNT,0.00912086,2166,3908118,-1,2021-05-16 18:08:12.796463
RUNE,18.21,41818,4374947957,248801111,2021-05-16 18:08:12.796463
SRM,9.14,27004,450792116,458685873,2021-05-16 18:08:12.796463
WNXM,93.29,4453,196468466,46214627,2021-05-16 18:08:12.796463
EOS,9.63,62378,9239346189,7025229709,2021-05-16 18:08:12.796463
YFI,60.496,45217,2189401063,732323589,2021-05-16 18:08:12.796463
NEO,88.17,50776,6218518664,1375513161,2021-05-16 18:08:12.796463
CAKE,27.68,104606,4742281961,484695630,2021-05-16 18:08:12.796463
XVS,106.16,19880,1059046843,329952620,2021-05-16 18:08:12.796463
ACM,13.5,1469,27523261,94868920,2021-05-16 18:08:12.796463
COMP,635.64,46939,3278718143,366565459,2021-05-16 18:08:12.796463
MKR,-1.0,34028,3835030476,327745550,2021-05-16 18:08:12.796463
PHA,1.04,26415,188946078,51299737,2021-05-16 18:08:12.796463
PAXG,-1.0,5633,217856780,23143832,2021-05-16 18:08:12.796463
ZEN,118.17,13337,1312226321,96324060,2021-05-16 18:08:12.796463
XMR,374.92,67017,6726524819,488680652,2021-05-16 18:08:12.796463
TRB,86.8,16523,145328646,103956045,2021-05-16 18:08:12.796463
GHST,1.32,10081,58330556,45524725,2021-05-16 18:08:12.796463
INJ,15.51,32967,368677885,91383949,2021-05-16 18:08:12.796463
PERP,9.03,10394,198222742,25490846,2021-05-16 18:08:12.796463
KSM,501.83,56573,4620005223,539956837,2021-05-16 18:08:12.796463
STRAX,2.54,11569,254505795,17712035,2021-05-16 18:08:12.796463
JUV,18.01,2066,39660050,110921739,2021-05-16 18:08:12.796463
ALPHA,1.76,22050,503201301,77222400,2021-05-16 18:08:12.796463
QTUM,18.58,24170,1926900280,1027735978,2021-05-16 18:08:12.796463
XLM,0.669529,133634,15510938364,4239632917,2021-05-16 18:08:12.796463
PSG,33.48,2537,68628618,161206524,2021-05-16 18:08:12.796463
COTI,0.388683,37462,260316703,176745652,2021-05-16 18:08:12.796463
AAVE,483.04,75109,6141294926,984388678,2021-05-16 18:08:12.796463
NMR,75.84,11133,435379672,531067543,2021-05-16 18:08:12.796463
SALT,0.456557,3475,39939181,258554,2021-05-16 18:08:12.796463
ASR,11.03,1216,13847107,61198077,2021-05-16 18:08:12.796463
FUEL,0.00160828,1017,1592074,157784,2021-05-16 18:08:12.796463
DGB,0.102819,40241,1476875903,122865612,2021-05-16 18:08:12.796463
KP3R,272.12,7785,62864940,5713973,2021-05-16 18:08:12.796463
SUSD,1.02,-1,199994249,44121524,2021-05-16 18:08:12.796463
LEND,4.83,10631,282446236,56576,2021-05-16 18:08:12.796463
DAI,0.994333,18081,4681656032,1276236253,2021-05-16 18:08:12.796463
BCHA,40.21,2529,742160398,28385483,2021-05-16 18:08:12.796463
TUSD,1.0,2791,1220128694,331697712,2021-05-16 18:08:12.796463
PAX,0.997225,3369,1232397681,133306049,2021-05-16 18:08:12.796463
USDT,0.997217,78712,58329021089,165333668061,2021-05-16 18:08:12.796463
GYEN,0.00916965,-1,1082006,233419,2021-05-16 18:08:12.796463
BUSD,1.01,19008,7877917917,5910620242,2021-05-16 18:08:12.796463
VAI,0.87602,2782,259966592,7354316,2021-05-16 18:08:12.796463
BNB,540.16,211175,83473592456,4508680247,2021-05-16 18:08:12.796463
ONE,0.15264,54731,1451170970,849964570,2021-05-16 18:08:12.796463
USDC,0.991449,23988,16366912357,3633941896,2021-05-16 18:08:12.796463
IDRT,6.619e-05,-1,2132098,1994147,2021-05-16 18:08:12.796463
ZEC,250.22,41898,2782444963,1811380627,2021-05-16 18:08:12.796463
LTC,283.87,162441,18978357617,7694370806,2021-05-16 18:08:12.796463
CELO,4.36,16578,480982198,37085030,2021-05-16 18:08:12.796463
BIDR,6.601e-05,-1,23038265,-1,2021-05-16 18:08:12.796463
USDS,0.991563,-1,-1,-1,2021-05-16 18:08:12.796463
DASH,315.9,58984,3201463279,1443433765,2021-05-16 18:08:12.796463
XVG,0.04516302,30245,744217319,55185794,2021-05-16 18:08:12.796463
FIRO,12.37,8618,147602215,13942393,2021-05-16 18:08:12.796463
LSK,6.0,18662,864589702,86732242,2021-05-16 18:08:12.796463
LUNA,15.5,51548,5944762430,537488707,2021-05-16 18:08:12.796463
OG,11.9,-1,15152417,79877218,2021-05-16 18:08:12.796463
GXC,1.08,2246,75501528,41484406,2021-05-16 18:08:12.796463
UNI,34.57,123021,18005971709,1038864332,2021-05-16 18:08:12.796463
ONT,1.88,24922,1545666347,756231442,2021-05-16 18:08:12.796463
BTG,89.06,16188,1559771965,23644481,2021-05-16 18:08:12.796463
DOT,39.81,197736,39530351475,3399592365,2021-05-16 18:08:12.796463
OMG,8.85,35252,1244096016,609973058,2021-05-16 18:08:12.796463
LUN,0.399191,1054,1079156,51636,2021-05-16 18:08:12.796463
FTT,50.85,22494,4465636660,285576965,2021-05-16 18:08:12.796463
MANA,1.12,52643,1485667207,170109898,2021-05-16 18:08:12.796463
TWT,0.724045,17034,251208234,17137414,2021-05-16 18:08:12.796463
VET,0.164426,162345,10727450046,1887327605,2021-05-16 18:08:12.796463
TFUEL,0.320724,19141,60001064,-1,2021-05-16 18:08:12.796463
LINK,38.32,181932,16345288912,2057708782,2021-05-16 18:08:12.796463
AVAX,33.57,51909,4327145620,539692111,2021-05-16 18:08:12.796463
HNT,13.53,18363,1116998821,9224822,2021-05-16 18:08:12.796463
REEF,0.03673416,58243,465299330,109330004,2021-05-16 18:08:12.796463
MIOTA,1.89,55027,5261758605,359758572,2021-05-16 18:08:12.796463
ALGO,1.35,63488,4095192657,748654643,2021-05-16 18:08:12.796463
SUSHI,15.09,52560,2540295281,819064906,2021-05-16 18:08:12.796463
NEAR,5.57,15734,2108990429,190772881,2021-05-16 18:08:12.796463
GAS,11.8,8373,164819058,30132342,2021-05-16 18:08:12.796463
IOTX,0.04397759,9686,331809997,43412536,2021-05-16 18:08:12.796463
VIA,1.28,3167,29624098,610697,2021-05-16 18:08:12.796463
COVER,425.94,4531,26528785,2495055,2021-05-16 18:08:12.796463
ATOM,23.01,76165,5488893063,1214776408,2021-05-16 18:08:12.796463
GO,0.04901976,4446,52930384,1975447,2021-05-16 18:08:12.796463
AION,0.358193,9384,176679066,19905293,2021-05-16 18:08:12.796463
PROS,2.7,9840,11912248,1595881,2021-05-16 18:08:12.796463
DCR,171.02,10678,2215937077,65496670,2021-05-16 18:08:12.796463
SC,0.02758376,41136,1324119527,119049807,2021-05-16 18:08:12.796463
AR,23.15,11011,1014690074,29652351,2021-05-16 18:08:12.796463
NXS,1.21,4591,82333979,413738,2021-05-16 18:08:12.796463
CTXC,0.284622,2357,2857922,8602702,2021-05-16 18:08:12.796463
BSV,292.48,12110,5479444356,1662025347,2021-05-16 18:08:12.796463
ALICE,10.05,15538,174838523,59432804,2021-05-16 18:08:12.796463
XTZ,5.46,54173,4542564833,332547437,2021-05-16 18:08:12.796463
ZIL,0.175163,74204,2108636559,247117223,2021-05-16 18:08:12.796463
BNT,6.38,20895,1252291806,163366274,2021-05-16 18:08:12.796463
SNX,17.52,66946,2683512027,227756136,2021-05-16 18:08:12.796463
LRC,0.532701,29175,661761121,147019668,2021-05-16 18:08:12.796463
UTK,0.50574,24413,227582792,51004480,2021-05-16 18:08:12.796463
AUCTION,42.81,3265,188086018,42089731,2021-05-16 18:08:12.796463
CHZ,0.418636,74058,2237219676,847437747,2021-05-16 18:08:12.796463
MOD,0.356945,-1,-1,-1,2021-05-16 18:08:12.796463
HBAR,0.302024,45871,2495179257,504993455,2021-05-16 18:08:12.796463
AE,0.289935,3738,111304470,16984981,2021-05-16 18:08:12.796463
YFII,-1.0,9455,99382886,74921431,2021-05-16 18:08:12.796463
