symbol,price,likes,market_cap,volume_cap,date
SHIB,1.778e-05,119815,8917007743,2843850098,2021-05-16 20:49:44.374868
SNM,0.447676,3691,191791140,1476646,2021-05-16 20:49:44.374868
SLP,0.214193,10398,89523503,86270240,2021-05-16 20:49:44.374868
SHIB,1.688e-05,119995,8521073643,2835093754,2021-05-16 21:38:58.568314
SNM,0.452639,3692,198075669,1481848,2021-05-16 21:38:58.568314
SLP,0.218428,10400,91805435,86134443,2021-05-16 21:38:58.568314
BAKE,6.9,27908,1057888300,608065707,2021-05-16 21:38:58.568314
ATM,42.45,1547,80365964,817687519,2021-05-16 21:38:58.568314
MATIC,1.71,113255,10517353559,3939727658,2021-05-16 21:38:58.568314
RLC,7.88,14593,562219411,164720959,2021-05-16 21:38:58.568314
ETC,92.27,57407,11746070364,9175882134,2021-05-16 21:38:58.568314
CLOAK,1.07,1753,6061811,22092,2021-05-16 21:38:58.568314
PROM,25.91,4334,425887263,53737599,2021-05-16 21:38:58.568314
BURGER,11.88,5913,55723003,-1,2021-05-16 21:38:58.568314
SOL,46.09,83188,12570410165,2233613116,2021-05-16 21:38:58.568314
CTSI,1.11,17957,344256359,107846996,2021-05-16 21:38:58.568314
WAVES,29.95,27040,3004815950,201999412,2021-05-16 21:38:58.568314
NANO,10.55,32797,1405918220,165263351,2021-05-16 21:38:58.568314
ETHBULL,-1.0,-1,97081142,-1,2021-05-16 21:38:58.568314
TKO,2.88,11130,215727801,61869198,2021-05-16 21:38:58.568314
SRM,10.41,27044,535939771,611006928,2021-05-16 21:38:58.568314
ADA,2.24,293544,71908751178,12333663817,2021-05-16 21:38:58.568314
TNT,0.01055917,2164,4524404,-1,2021-05-16 21:38:58.568314
DGD,679.01,1829,63091800,169941,2021-05-16 21:38:58.568314
ETH,-1.0,456772,408724175150,65018000026,2021-05-16 21:38:58.568314
WNXM,98.29,4456,207828440,29143417,2021-05-16 21:38:58.568314
BETH,-1.0,1830,13030446,-1,2021-05-16 21:38:58.568314
XVS,116.85,19898,1163922841,355246061,2021-05-16 21:38:58.568314
FTM,0.619783,39420,1574962795,253308630,2021-05-16 21:38:58.568314
MKR,-1.0,34048,4162945104,379044237,2021-05-16 21:38:58.568314
DOGE,0.507475,229160,65780940804,9837610644,2021-05-16 21:38:58.568314
TNB,0.00546573,1239,18783458,1858511,2021-05-16 21:38:58.568314
BEAR,0.00109317,-1,4884267,-1,2021-05-16 21:38:58.568314
PHA,1.14,26434,202608060,54311079,2021-05-16 21:38:58.568314
BCD,4.24,9178,798447543,41452548,2021-05-16 21:38:58.568314
RUNE,19.15,41861,4593659603,225491288,2021-05-16 21:38:58.568314
CAKE,28.83,104694,4958219346,523613993,2021-05-16 21:38:58.568314
PERP,9.19,10564,201756962,24277902,2021-05-16 21:38:58.568314
YFI,64.943,45241,2344513851,773971765,2021-05-16 21:38:58.568314
KSM,543.9,56605,4879966154,634281522,2021-05-16 21:38:58.568314
COMP,679.11,46973,3497081253,387368021,2021-05-16 21:38:58.568314
ACM,13.73,1470,27479561,96248443,2021-05-16 21:38:58.568314
AAVE,520.36,75153,6636514958,1037820260,2021-05-16 21:38:58.568314
COTI,0.418521,37532,279930195,162848161,2021-05-16 21:38:58.568314
EOS,9.87,62423,9450127354,7253929963,2021-05-16 21:38:58.568314
GHST,1.35,10086,59688842,47681672,2021-05-16 21:38:58.568314
ALPHA,1.87,22182,533399908,81925797,2021-05-16 21:38:58.568314
XLM,0.696778,133817,16113228694,4475758157,2021-05-16 21:38:58.568314
LEND,5.1,10629,298209825,206227,2021-05-16 21:38:58.568314
INJ,15.6,32978,375311420,92199684,2021-05-16 21:38:58.568314
XMR,385.23,67044,6898964317,511821587,2021-05-16 21:38:58.568314
TRB,93.16,16530,155184970,114549151,2021-05-16 21:38:58.568314
JUV,17.85,2069,39334269,84801882,2021-05-16 21:38:58.568314
BNB,555.32,211447,85815021654,4793677154,2021-05-16 21:38:58.568314
PAXG,-1.0,5648,217307153,36576970,2021-05-16 21:38:58.568314
STRAX,2.69,11568,269318209,18364390,2021-05-16 21:38:58.568314
KP3R,275.04,7786,63673715,6485964,2021-05-16 21:38:58.568314
PSG,31.61,2538,66578768,140185100,2021-05-16 21:38:58.568314
OG,12.71,-1,16300538,77685188,2021-05-16 21:38:58.568314
ASR,10.96,1219,13579114,49483067,2021-05-16 21:38:58.568314
NEO,91.06,50807,6423052865,1467223270,2021-05-16 21:38:58.568314
CELO,4.56,16589,502133732,39168239,2021-05-16 21:38:58.568314
FIRO,13.38,8624,158976253,14511667,2021-05-16 21:38:58.568314
ONE,0.146424,54854,1392072104,689764250,2021-05-16 21:38:58.568314
NMR,78.03,11180,430998720,661344497,2021-05-16 21:38:58.568314
AVAX,36.25,51946,4662296375,591035324,2021-05-16 21:38:58.568314
QTUM,18.77,24180,1941812925,1043619399,2021-05-16 21:38:58.568314
TWT,0.778788,17041,270686200,18326893,2021-05-16 21:38:58.568314
BCH,-1.0,87477,21520881639,7364452101,2021-05-16 21:38:58.568314
LUNA,15.99,51610,6133278947,608572511,2021-05-16 21:38:58.568314
DAI,1.01,18101,4730435234,1321006910,2021-05-16 21:38:58.568314
GXC,1.12,2245,78323341,33889129,2021-05-16 21:38:58.568314
GYEN,0.00924842,-1,1111282,220035,2021-05-16 21:38:58.568314
PROS,2.78,9839,12295278,1797147,2021-05-16 21:38:58.568314
FUEL,0.0016186,1017,1600835,179417,2021-05-16 21:38:58.568314
SUSD,1.02,-1,198517169,43362829,2021-05-16 21:38:58.568314
USDT,1.0,78752,58507327720,179698264064,2021-05-16 21:38:58.568314
BUSD,0.998213,19043,7929395471,8459249075,2021-05-16 21:38:58.568314
PAX,0.997588,3371,1233269460,137059542,2021-05-16 21:38:58.568314
USDC,0.999236,24019,16498362605,4279796856,2021-05-16 21:38:58.568314
DOT,41.5,197977,41229891724,3407061974,2021-05-16 21:38:58.568314
FTT,53.35,22503,4685192885,263226900,2021-05-16 21:38:58.568314
SUSHI,16.26,52599,2738374141,854023894,2021-05-16 21:38:58.568314
UNI,36.12,123054,18810014926,1061258129,2021-05-16 21:38:58.568314
TUSD,0.996461,2798,1212221483,339925743,2021-05-16 21:38:58.568314
IDRT,6.667e-05,-1,2148067,1555208,2021-05-16 21:38:58.568314
USDS,1.01,-1,-1,-1,2021-05-16 21:38:58.568314
ZEN,123.82,13339,1373420086,98931367,2021-05-16 21:38:58.568314
DGB,0.111241,40258,1591359097,140212390,2021-05-16 21:38:58.568314
BIDR,6.617e-05,-1,24072963,-1,2021-05-16 21:38:58.568314
REEF,0.03917646,58251,496275214,110093851,2021-05-16 21:38:58.568314
NEAR,5.81,15744,2187212716,186262372,2021-05-16 21:38:58.568314
